assestment;text
Nieweryfikowalne;Generalnie, jak pokazują dane i szacunki, to najbardziej obciążone kredytami hipotecznymi, bo to między 20 a 30 proc., są te najzamożniejsze gospodarstwa domowe. A wśród tych najuboższych, najniżej sytuowanych Polaków tylko 5 proc. spłaca kredyty hipoteczne.
Prawda;Według ich (ukraińskich – przyp. Demagog) danych w Polsce, czy na terytorium Polski, uczy się zdalnie 540 tys. dzieci z Ukrainy.
Fałsz;Po pierwsze, jest 51,25 proc. ludzi tylko zaszczepionych (przeciwko COVID-19 – przyp. Demagog). Po drugie, o czym przypominam, mniej więcej 100 osób codziennie umiera (w Polsce – przyp. Demagog), nadal.
Prawda;Po pierwsze, system bankowy w Polsce, no, ma się nieźle. (…) Zysk w porównaniu do zeszłego roku to jest o 100 proc.
Fałsz;Magazyny gazu mamy pełne tylko w 60%, bo w listopadzie, jak USA poinformowało o zbliżającej się wojnie, nikt nie pomyślał, aby je napełnić.
Fałsz;Dwa miesiące po wprowadzeniu sankcji wobec setek rosyjskich oligarchów przez UE, rząd PiS rozpoczął wprowadzanie tych sankcji. Rychło w czas.
Fałsz;Turcja oferowała uchodźcom syryjskim znacznie prostszą pomoc, po prostu obozy namiotowe i jedzenie. Tam nie było opieki zdrowotnej, tam nie było edukacji, oświaty dla dzieci syryjskich.
Częściowy fałsz;Turcja, który przyjmowała uchodźców z Syrii, w czasie w znacznie dłuższym, tzn. tam nie było takiego tempa. Pierwszy milion uchodźców z Syrii pojawił się na terenie Turcji po 3 miesiącach od wybuchu konfliktu, u nas to był tydzień.
Prawda;W styczniu, kiedy jeszcze nie było wojny, pan prezes Glapiński wyszedł i poinformował wszystkich (…), że najwyższa inflacja będzie w czerwcu i powiedział zresztą, że to będzie ok. 8 proc. Okazało się, że już w styczniu inflacja była 9,2 proc.
Prawda;Polska jest liderem, (…) jeżeli chodzi o liczbę wydalonych dyplomatów rosyjskich. Jeżeli nie na pierwszym, to na drugim miejscu jesteśmy, jeśli chodzi właśnie o liczbę wyrzuconych dyplomatów. 
Prawda;FAO twierdzi inaczej. Najmniejsze gospodarstwa do 2 ha zajmują 12% światowych zasobów ziemi rolnej i dostarczają 1/3 światowej produkcji żywności. Może i nie są w stanie wyżywić świata ale go żywią. 1/8 ziemi, 1/3 żywności…
Prawda;W ubiegłym roku NBP miał rekordowe zyski, ponad 11 mld zł, jakich nikt jeszcze, żaden prezes NBP-u, nie miał.
Fałsz;Z tego, co pamiętam, (…) to chyba takie prawo (o obrazie uczuć religijnych – przyp. Demagog) obowiązuje tylko w Rosji i w państwach muzułmańskich.
Manipulacja;Trzeba przypominać, że myśmy cel inflacyjny grubo przekroczyli już na początku 2020 roku, przed pojawieniem się pierwszego przypadku koronawirusa w Polsce. Bo w lutym inflacja w Polsce, o czym już mało kto pamięta, dobijała do 5 proc. Dokładnie wyniosła 4,7 proc.
Częściowy fałsz;W 2016 roku (…) ten komponent rosyjskiej ropy to było prawie 80 proc. całej ropy, która trafia do Polski. To się zdecydowanie udało zmniejszyć (…) jest ok. połowy w tej chwili.
Manipulacja;Dwa razy (…) zablokowano rozpoczęcia inwestycji Baltic Pipe. Ja tylko przypomnę, że w 2001 roku zrobił to rząd Lewicy, po tym, jak rząd AWS-u przygotował ten kontrakt z Norwegami i Duńczykami. I po raz drugi zrobił to rząd PO-PSL.
Fałsz;W ciągu roku (…) mamy 7,5 tys. godzin. I na te 7,5 tys. godzin (…) energetyka odnawialna zapewnia tylko moc w systemie na poziomie 2-2,5 tys. godzin.
Fałsz;Wygląda na to, że Ukraińcy powtórzyli scenariusz (w Mariupolu – przyp. Demagog) szpitala położniczego w Kuwejcie z 1990 roku, który został całkowicie zainscenizowany przez firmę Hill & Knowlton za $10,7 mln, aby przekonać Radę Bezpieczeństwa ONZ do interwencji w Iraku w ramach operacji Pustynna Tarcza/Sztorm . 
Manipulacja;Bułgaria ma dziś zatwierdzony plan odbudowy i dostanie 6,3 mld euro ! Dostanie chociaż kilka dni temu został aresztowany premier Bułgarii za korupcję! 
Prawda;Pani Le Pen mówiła o tym, że NATO jest w ogóle fatalną organizacją, do której nikt nie powinien przystąpić. I na pewno w pierwszej kolejności, jeżeli ona zdobędzie tytuł pani prezydentki Francji, wycofa Francję z NATO. Też były przecież takie wywiady.
