assestment;text;author;source;text_clean;sentiment_all;sentiment_avg;uniq_words;uniq_lemm;err;net;ADJ;ADV;NOUN
Częściowy fałsz;W ubiegłym roku 257 osób zginęło w wypadkach spowodowanych przez pijanych kierowców.;Paulina Matysiak;Poranna rozmowa w RMF FM, 18.05.2022;W ubiegłym roku 257 osób zginęło w wypadkach spowodowanych przez pijanych kierowców.;-0.23047670722007751;-0.20706697646528482;12.0;11.0;2.0;0.0;0.25;0.0;0.4166666666666667
Prawda;(...) udzielenie bankowi centralnemu Ukrainy tzw. swapa walutowego w kwocie 1 mld dolarów. Narodowy Bank Polski był pierwszym i jak dotąd jedynym bankiem centralnym, który zaoferował Narodowemu Bankowi Ukrainy takie wsparcie.;Piotr Ćwik;54. posiedzenie Sejmu RP, 12.05.2022; udzielenie bankowi centralnemu Ukrainy tzw. swapa walutowego w kwocie 1 mld dolarów. Narodowy Bank Polski był pierwszym i jak dotąd jedynym bankiem centralnym, który zaoferował Narodowemu Bankowi Ukrainy takie wsparcie.;-0.00899549014866352;-0.00899549014866352;29.0;28.0;2.0;3.0;0.27586206896551724;0.0;0.3103448275862069
Prawda;Polska już w grudniu (2021 roku – przyp. Demagog) miała trzecią najwyższą inflację w Unii Europejskiej i rekordową od 20 lat.;Marcin Kierwiński;Śniadanie Rymanowskiego w Polsat News i Interii, 15.05.2022;Polska już w grudniu 2021 roku miała trzecią najwyższą inflację w Unii Europejskiej i rekordową od 20 lat.;-0.00899549014866352;-0.00899549014866352;17.0;16.0;1.0;4.0;0.11764705882352941;0.0;0.47058823529411764
Prawda;(Bartosz Cichocki – przyp. Demagog) był jedynym ambasadorem z krajów Unii Europejskiej, który cały czas był w Kijowie obecny. Ta nasza placówka działała nieprzerwanie.;Arkady Rzegocki;Kwadrans polityczny, 26.04.2022;Bartosz Cichocki był jedynym ambasadorem z krajów Unii Europejskiej, który cały czas był w Kijowie obecny. Ta nasza placówka działała nieprzerwanie.;0.2821372151374817;0.13942696154117584;20.0;20.0;2.0;3.0;0.25;0.05;0.25
Fałsz;Będąc (prezes NBP Adam Glapiński – przyp. Demagog) przez 6 lat osobą odpowiedzialną za wartość polskiego pieniądza, utrzymanie stabilności cen, doprowadził do tego, że w ciągu tylko ostatnich 2 lat złoty osłabił się o 10% wobec euro, 15% wobec dolara USA.;Dariusz Rosati;Posiedzenie Sejmu, 12.05.2022;Będąc prezes NBP Adam Glapiński przez 6 lat osobą odpowiedzialną za wartość polskiego pieniądza, utrzymanie stabilności cen, doprowadził do tego, że w ciągu tylko ostatnich 2 lat złoty osłabił się o 10% wobec euro, 15% wobec dolara USA.;-0.00899549014866352;-0.00899549014866352;37.0;37.0;4.0;4.0;0.10810810810810811;0.05405405405405406;0.32432432432432434
Prawda;W latach 2018–2019 Narodowy Bank Polski zakupił 125 t złota, zwiększając zasób kruszcu do ok. 230 t, co odpowiada ok. 9% oficjalnych aktywów rezerwowych.;Piotr Ćwik;Posiedzenie Sejmu, 15.05.2022;W latach 2018–2019 Narodowy Bank Polski zakupił 125 t złota, zwiększając zasób kruszcu do ok. 230 t, co odpowiada ok. 9% oficjalnych aktywów rezerwowych.;-0.00899549014866352;-0.00899549014866352;24.0;24.0;2.0;2.0;0.125;0.0;0.20833333333333334
Fałsz;12% “skuteczności” eliksiru...;Jacek Wilk;Twitter, 04.05.2022;12% “skuteczności” eliksiru...;-0.008855934254825115;-0.008855934254825115;4.0;4.0;1.0;0.0;0.0;0.0;0.5
Prawda;Adam Glapiński, kuriozalny prezes NBP otoczony „asystentkami” i odpowiedzialny na dwucyfrową inflację w Polsce, będzie nadal prezesem NBP, mimo że ponad 70% Polaków nie chce go na tym stanowisku. ;Dariusz Rosati;Twitter, 13.05.2022;Adam Glapiński, kuriozalny prezes NBP otoczony „asystentkami” i odpowiedzialny na dwucyfrową inflację w Polsce, będzie nadal prezesem NBP, mimo że ponad 70% Polaków nie chce go na tym stanowisku. ;-0.00899549014866352;-0.00899549014866352;28.0;27.0;4.0;7.0;0.10714285714285714;0.03571428571428571;0.17857142857142858
Manipulacja;W czasie kadencji prezesa Glapińskiego istotnie zwiększył się poziom rezerw dewizowych, które na koniec 2021 roku osiągnęły równowartość 166 mld dolarów, wzrastając sześciokrotnie w stosunku do poziomu w roku 2000 i niemal dwukrotnie w ciągu ostatniej dekady. Zaś rezerwy wzrosły o 55,8 mld dolarów od czerwca 2016 do grudnia 2021.;Piotr Ćwik;Posiedzenie Sejmu RP, 12.05.2022;W czasie kadencji prezesa Glapińskiego istotnie zwiększył się poziom rezerw dewizowych, które na koniec 2021 roku osiągnęły równowartość 166 mld dolarów, wzrastając sześciokrotnie w stosunku do poziomu w roku 2000 i niemal dwukrotnie w ciągu ostatniej dekady. Zaś rezerwy wzrosły o 55,8 mld dolarów od czerwca 2016 do grudnia 2021.;-0.00899549014866352;-0.00899549014866352;43.0;40.0;6.0;5.0;0.18604651162790697;0.06976744186046512;0.3953488372093023
Prawda;Jastrząb (prezes NBP Adam Glapiński – przyp. Demagog) oczywiście nie odczuwa skutków własnej decyzji, bo jego pensja jest również jastrzębia. W zeszłym roku przekroczyła milion złotych.;Paulina Hennig-Kloska;Posiedzenie Sejmu, 12.05.2022;Jastrząb prezes NBP Adam Glapiński oczywiście nie odczuwa skutków własnej decyzji, bo jego pensja jest również jastrzębia. W zeszłym roku przekroczyła milion złotych.;-0.07748278975486755;-0.04387993458658457;23.0;23.0;7.0;2.0;0.08695652173913043;0.0;0.34782608695652173
Prawda;Obywatele Ukrainy, którzy przybywają do nas, po trzech miesiącach podlegają takim samym obowiązkom jak nasi obywatele, więc jeżeli nie przeszli jakiegoś szczepienia, no to siłą rzeczy taki obowiązek ich dotyczy.;Adam Niedzielski;Gość Wiadomości, 06.05.2022;Obywatele Ukrainy, którzy przybywają do nas, po trzech miesiącach podlegają takim samym obowiązkom jak nasi obywatele, więc jeżeli nie przeszli jakiegoś szczepienia, no to siłą rzeczy taki obowiązek ich dotyczy.;-0.01572307199239731;-0.01572307199239731;30.0;27.0;3.0;3.0;0.06666666666666667;0.03333333333333333;0.3333333333333333
