assestment;text_clean;sentiment_all;sentiment_avg;uniq_words;uniq_lemm;err;net;ADJ;ADV;NOUN;e0;e1;e2;e3;e4;e5;e6;e7;e8;e9
Nieweryfikowalne;Generalnie, jak pokazują dane i szacunki, to najbardziej obciążone kredytami hipotecznymi, bo to między 20 a 30 proc., są te najzamożniejsze gospodarstwa domowe. A wśród tych najuboższych, najniżej sytuowanych Polaków tylko 5 proc. spłaca kredyty hipoteczne.;-0.0089954901486635;-0.0833641858771443;33.0;29.0;3.0;1.0;0.2121212121212121;0.0606060606060606;0.2121212121212121;0.024915505200624466;0.05928460508584976;0.016551196575164795;-0.09652874618768692;0.09483177959918976;0.025200197473168373;0.06722836196422577;0.04900392144918442;-0.10960426181554794;0.09156301617622375
Prawda;Według ich ukraińskich danych w Polsce, czy na terytorium Polski, uczy się zdalnie 540 tys. dzieci z Ukrainy.;-0.0089954901486635;-0.0089954901486635;18.0;17.0;0.0;3.0;0.0555555555555555;0.0555555555555555;0.1666666666666666;0.07110670953989029;-0.07923416793346405;0.08262274414300919;-0.001024436904117465;0.025219548493623734;0.07110019773244858;-0.07121443003416061;0.09183447808027267;0.005764680914580822;0.033850740641355515
Fałsz;Po pierwsze, jest 51,25 proc. ludzi tylko zaszczepionych przeciwko COVID-19. Po drugie, o czym przypominam, mniej więcej 100 osób codziennie umiera w Polsce, nadal.;-0.0089954901486635;-0.0450550029054284;24.0;24.0;0.0;1.0;0.125;0.125;0.0833333333333333;-0.0005226671928539872;0.043593455106019974;0.04353544861078262;0.016802692785859108;0.05722224712371826;-0.002377329859882593;0.054799288511276245;0.05683101341128349;0.010832676663994789;0.06876120716333389
Prawda;Po pierwsze, system bankowy w Polsce, no, ma się nieźle.  Zysk w porównaniu do zeszłego roku to jest o 100 proc.;0.0261405557394027;-0.0810372564010322;19.0;19.0;1.0;1.0;0.1578947368421052;0.0;0.2631578947368421;0.06830707937479019;0.04256939888000488;-0.04390467330813408;-0.010953319258987904;0.015452695079147816;0.07167354971170425;0.04476429149508476;-0.04285828769207001;-0.017603114247322083;0.01160091906785965
Fałsz;Magazyny gazu mamy pełne tylko w 60%, bo w listopadzie, jak USA poinformowało o zbliżającej się wojnie, nikt nie pomyślał, aby je napełnić.;-0.024012291803956;-0.024012291803956;23.0;23.0;2.0;2.0;0.0869565217391304;0.0;0.1739130434782608;0.06744204461574554;-0.0007876992458477616;-0.06580855697393417;0.00922691822052002;0.04157904535531998;0.06608971208333969;-0.0006062583415769041;-0.05371742323040962;0.007621432654559612;0.038332220166921616
Fałsz;Dwa miesiące po wprowadzeniu sankcji wobec setek rosyjskich oligarchów przez UE, rząd PiS rozpoczął wprowadzanie tych sankcji. Rychło w czas.;-0.0089954901486635;-0.1231503346934914;19.0;19.0;4.0;3.0;0.0526315789473684;0.0;0.3684210526315789;0.058655403554439545;-0.05395008251070976;0.04194509983062744;0.03827868774533272;0.018471717834472656;0.06734417378902435;-0.0656479075551033;0.05409400165081024;0.030977094545960426;0.019435549154877663
Fałsz;Turcja oferowała uchodźcom syryjskim znacznie prostszą pomoc, po prostu obozy namiotowe i jedzenie. Tam nie było opieki zdrowotnej, tam nie było edukacji, oświaty dla dzieci syryjskich.;-0.2271647006273269;-0.3601110354065895;24.0;22.0;1.0;3.0;0.25;0.125;0.25;-0.0029362142086029053;-0.08137648552656174;0.05343132093548775;0.023998189717531204;-0.01353375893086195;-0.0010929512791335583;-0.06371810287237167;0.06139018014073372;0.025010807439684868;-0.004347330424934626
Częściowy fałsz;Turcja, który przyjmowała uchodźców z Syrii, w czasie w znacznie dłuższym, tzn. tam nie było takiego tempa. Pierwszy milion uchodźców z Syrii pojawił się na terenie Turcji po 3 miesiącach od wybuchu konfliktu, u nas to był tydzień.;-0.0089954901486635;-0.0591072645038366;34.0;32.0;4.0;4.0;0.0588235294117647;0.0588235294117647;0.2352941176470588;0.05350534990429878;-0.07444029301404953;-0.014425152912735939;0.033410776406526566;0.07008187472820282;0.06458540260791779;-0.07269074767827988;-0.0022260653786361217;0.02624695561826229;0.07722391188144684
Prawda;W styczniu, kiedy jeszcze nie było wojny, pan prezes Glapiński wyszedł i poinformował wszystkich , że najwyższa inflacja będzie w czerwcu i powiedział zresztą, że to będzie ok. 8 proc. Okazało się, że już w styczniu inflacja była 9,2 proc.;-0.0738235265016555;-0.032139852643013;31.0;29.0;2.0;5.0;0.1290322580645161;0.064516129032258;0.2903225806451613;-0.08417598158121109;0.03949415683746338;0.00654866686090827;0.04284543916583061;-0.07372727245092392;-0.07990079373121262;0.04062676057219505;0.02405327744781971;0.03544437140226364;-0.0836029201745987
Prawda;Polska jest liderem,  jeżeli chodzi o liczbę wydalonych dyplomatów rosyjskich. Jeżeli nie na pierwszym, to na drugim miejscu jesteśmy, jeśli chodzi właśnie o liczbę wyrzuconych dyplomatów. ;-0.0774020478129386;-0.1350964996963739;21.0;21.0;3.0;2.0;0.2857142857142857;0.0476190476190476;0.3333333333333333;-0.01532638631761074;-0.09618894010782242;0.032154716551303864;0.0013703226577490568;-0.035880643874406815;0.0022356254048645496;-0.07801047712564468;0.07312601804733276;-0.028890561312437057;-0.045606374740600586
