assestment;text_clean;sentiment_all;sentiment_avg;uniq_words;uniq_lemm;err;net;ADJ;ADV;NOUN;e0;e1;e2;e3;e4
Nieweryfikowalne;Generalnie, jak pokazują dane i szacunki, to najbardziej obciążone kredytami hipotecznymi, bo to między 20 a 30 proc., są te najzamożniejsze gospodarstwa domowe. A wśród tych najuboższych, najniżej sytuowanych Polaków tylko 5 proc. spłaca kredyty hipoteczne.;-0.0089954901486635;-0.0833641858771443;33.0;29.0;3.0;1.0;0.2121212121212121;0.0606060606060606;0.2121212121212121;-2.1746497;10.728617;10.475799;16.550148;5.7759557
Prawda;Według ich ukraińskich danych w Polsce, czy na terytorium Polski, uczy się zdalnie 540 tys. dzieci z Ukrainy.;-0.0089954901486635;-0.0089954901486635;18.0;17.0;0.0;3.0;0.0555555555555555;0.0555555555555555;0.1666666666666666;-1.6870811;11.237671;9.843318;15.419632;6.6520824
Fałsz;Po pierwsze, jest 51,25 proc. ludzi tylko zaszczepionych przeciwko COVID-19. Po drugie, o czym przypominam, mniej więcej 100 osób codziennie umiera w Polsce, nadal.;-0.0089954901486635;-0.0450550029054284;24.0;24.0;0.0;1.0;0.125;0.125;0.0833333333333333;-1.7134196;11.142966;9.703842;16.446547;6.388052
Prawda;Po pierwsze, system bankowy w Polsce, no, ma się nieźle.  Zysk w porównaniu do zeszłego roku to jest o 100 proc.;0.0261405557394027;-0.0810372564010322;19.0;19.0;1.0;1.0;0.1578947368421052;0.0;0.2631578947368421;-2.1405938;10.529403;11.751709;16.272406;5.852972
Fałsz;Magazyny gazu mamy pełne tylko w 60%, bo w listopadzie, jak USA poinformowało o zbliżającej się wojnie, nikt nie pomyślał, aby je napełnić.;-0.024012291803956;-0.024012291803956;23.0;23.0;2.0;2.0;0.0869565217391304;0.0;0.1739130434782608;-0.6239992;10.627881;9.725154;16.69399;6.0030603
Fałsz;Dwa miesiące po wprowadzeniu sankcji wobec setek rosyjskich oligarchów przez UE, rząd PiS rozpoczął wprowadzanie tych sankcji. Rychło w czas.;-0.0089954901486635;-0.1231503346934914;19.0;19.0;4.0;3.0;0.0526315789473684;0.0;0.3684210526315789;-0.2295303;10.712158;10.201816;17.372324;4.8758855
Fałsz;Turcja oferowała uchodźcom syryjskim znacznie prostszą pomoc, po prostu obozy namiotowe i jedzenie. Tam nie było opieki zdrowotnej, tam nie było edukacji, oświaty dla dzieci syryjskich.;-0.2271647006273269;-0.3601110354065895;24.0;22.0;1.0;3.0;0.25;0.125;0.25;-0.69293916;10.678816;10.104356;17.095678;5.248384
Częściowy fałsz;Turcja, który przyjmowała uchodźców z Syrii, w czasie w znacznie dłuższym, tzn. tam nie było takiego tempa. Pierwszy milion uchodźców z Syrii pojawił się na terenie Turcji po 3 miesiącach od wybuchu konfliktu, u nas to był tydzień.;-0.0089954901486635;-0.0591072645038366;34.0;32.0;4.0;4.0;0.0588235294117647;0.0588235294117647;0.2352941176470588;-1.3194312;10.699743;10.162302;16.940203;5.2298923
Prawda;W styczniu, kiedy jeszcze nie było wojny, pan prezes Glapiński wyszedł i poinformował wszystkich , że najwyższa inflacja będzie w czerwcu i powiedział zresztą, że to będzie ok. 8 proc. Okazało się, że już w styczniu inflacja była 9,2 proc.;-0.0738235265016555;-0.032139852643013;31.0;29.0;2.0;5.0;0.1290322580645161;0.064516129032258;0.2903225806451613;-1.4605082;10.868875;11.305835;17.407812;4.8459105
Prawda;Polska jest liderem,  jeżeli chodzi o liczbę wydalonych dyplomatów rosyjskich. Jeżeli nie na pierwszym, to na drugim miejscu jesteśmy, jeśli chodzi właśnie o liczbę wyrzuconych dyplomatów. ;-0.0774020478129386;-0.1350964996963739;21.0;21.0;3.0;2.0;0.2857142857142857;0.0476190476190476;0.3333333333333333;-1.7789885;9.997487;10.33287;16.192759;5.5986037
Prawda;FAO twierdzi inaczej. Najmniejsze gospodarstwa do 2 ha zajmują 12% światowych zasobów ziemi rolnej i dostarczają 1/3 światowej produkcji żywności. Może i nie są w stanie wyżywić świata ale go żywią. 1/8 ziemi, 1/3 żywności...;-0.0089954901486635;-0.1613239352591335;32.0;32.0;7.0;1.0;0.1875;0.0625;0.3125;-1.3262945;10.624602;10.825363;14.744414;5.4266486
Prawda;W ubiegłym roku NBP miał rekordowe zyski, ponad 11 mld zł, jakich nikt jeszcze, żaden prezes NBP-u, nie miał.;-0.0089954901486635;-0.0089954901486635;19.0;19.0;2.0;2.0;0.1052631578947368;0.0;0.1578947368421052;-1.4542304;10.761011;12.043545;16.706535;5.781066
Fałsz;Z tego, co pamiętam, ... to chyba takie prawo o obrazie uczuć religijnych obowiązuje tylko w Rosji i w państwach muzułmańskich.;-0.2455059587955474;-0.2455059587955474;19.0;18.0;2.0;1.0;0.1052631578947368;0.0;0.1578947368421052;-0.34526673;11.57234;9.335042;17.697935;4.921616
