assestment;text;author;source
Częściowy fałsz;W ubiegłym roku 257 osób zginęło w wypadkach spowodowanych przez pijanych kierowców.;Paulina Matysiak;Poranna rozmowa w RMF FM, 18.05.2022
Prawda;(...) udzielenie bankowi centralnemu Ukrainy tzw. swapa walutowego w kwocie 1 mld dolarów. Narodowy Bank Polski był pierwszym i jak dotąd jedynym bankiem centralnym, który zaoferował Narodowemu Bankowi Ukrainy takie wsparcie.;Piotr Ćwik;54. posiedzenie Sejmu RP, 12.05.2022
Prawda;Polska już w grudniu (2021 roku – przyp. Demagog) miała trzecią najwyższą inflację w Unii Europejskiej i rekordową od 20 lat.;Marcin Kierwiński;Śniadanie Rymanowskiego w Polsat News i Interii, 15.05.2022
Prawda;(Bartosz Cichocki – przyp. Demagog) był jedynym ambasadorem z krajów Unii Europejskiej, który cały czas był w Kijowie obecny. Ta nasza placówka działała nieprzerwanie.;Arkady Rzegocki;Kwadrans polityczny, 26.04.2022
Fałsz;Będąc (prezes NBP Adam Glapiński – przyp. Demagog) przez 6 lat osobą odpowiedzialną za wartość polskiego pieniądza, utrzymanie stabilności cen, doprowadził do tego, że w ciągu tylko ostatnich 2 lat złoty osłabił się o 10% wobec euro, 15% wobec dolara USA.;Dariusz Rosati;Posiedzenie Sejmu, 12.05.2022
Prawda;W latach 2018–2019 Narodowy Bank Polski zakupił 125 t złota, zwiększając zasób kruszcu do ok. 230 t, co odpowiada ok. 9% oficjalnych aktywów rezerwowych.;Piotr Ćwik;Posiedzenie Sejmu, 15.05.2022
Fałsz;12% “skuteczności” eliksiru...;Jacek Wilk;Twitter, 04.05.2022
Prawda;Adam Glapiński, kuriozalny prezes NBP otoczony „asystentkami” i odpowiedzialny na dwucyfrową inflację w Polsce, będzie nadal prezesem NBP, mimo że ponad 70% Polaków nie chce go na tym stanowisku. ;Dariusz Rosati;Twitter, 13.05.2022
Manipulacja;W czasie kadencji prezesa Glapińskiego istotnie zwiększył się poziom rezerw dewizowych, które na koniec 2021 roku osiągnęły równowartość 166 mld dolarów, wzrastając sześciokrotnie w stosunku do poziomu w roku 2000 i niemal dwukrotnie w ciągu ostatniej dekady. Zaś rezerwy wzrosły o 55,8 mld dolarów od czerwca 2016 do grudnia 2021.;Piotr Ćwik;Posiedzenie Sejmu RP, 12.05.2022
Prawda;Jastrząb (prezes NBP Adam Glapiński – przyp. Demagog) oczywiście nie odczuwa skutków własnej decyzji, bo jego pensja jest również jastrzębia. W zeszłym roku przekroczyła milion złotych.;Paulina Hennig-Kloska;Posiedzenie Sejmu, 12.05.2022
Prawda;Obywatele Ukrainy, którzy przybywają do nas, po trzech miesiącach podlegają takim samym obowiązkom jak nasi obywatele, więc jeżeli nie przeszli jakiegoś szczepienia, no to siłą rzeczy taki obowiązek ich dotyczy.;Adam Niedzielski;Gość Wiadomości, 06.05.2022
Manipulacja;Prawo i Sprawiedliwość opowiadało, że w Polsce nie będzie inflacji ze względu na to, że wpompowaliśmy 200 mld w rynek, kiedy był COVID. To przecież pan premier Morawiecki z mównicy sejmowej mówił. Powiedział, że walczymy z bezrobociem. Jednocześnie większą obawę ma, że będzie deflacja niż inflacja.;Krzysztof Gawkowski;Śniadanie Rymanowskiego w Polsat News i Interii, 01.05.2022
